"1182.16400,1,25,16777215,1625551930,0,ccb92cf,51595054130659335",日元最高一万面值，所以只有两万张,1
"870.09500,1,25,16777215,1625551800,0,31976253,51594985658646535",前摇真长,0
"46.85700,1,25,16777215,1625551753,0,b7ac3164,51594960833609733",这剧看了两遍 很好看,0
"19.41900,1,25,16777215,1625551747,0,315e101d,51594958091059203",恐怖妻子,3
"27.33900,5,25,15772458,1625551733,0,882e905d,51594950432260101",越狱越狱越狱越狱,1
"202.64300,1,25,16777215,1625551652,0,ea2629f9,51594908005302279",人渣,2
"1551.32000,1,25,16777215,1625551543,0,8507360e,51594851142598663",ma不就是真吗,2
"1566.71400,1,25,16777215,1625551481,0,135bd77,51594818709618691",蘑菇头？？？,3
"1412.80500,1,25,15138834,1625551467,0,9dd8e244,51594811117404165",竹内医生和柳元医生，我知道是你们别装了23333,0
"964.01100,1,25,16777215,1625551446,0,ae430cb6,51594800103686149",弹幕保护,3
"1454.93200,1,25,16777215,1625551439,0,5f7d9f69,51594796447301635",这男的证物都销毁不干净，能干啥。,2
"220.56300,1,25,16777215,1625551434,0,3951f7f2,51594793810132999",木头的怎么插进去的  ,2
"1326.73900,1,25,16777215,1625551425,0,9ad5e2c0,51594788997169157",这太猪了吧,2
"1629.64900,1,25,16777215,1625551422,0,5dd90e92,51594787787112453",催更狱白,2
"1488.56000,1,25,16777215,1625551408,0,6a0c732f,51594780449177605",去二次元了,0
"853.01800,1,25,14811775,1625551395,0,816b8482,51594773536440323",在乎,1
"196.25100,1,25,16777215,1625551354,0,2ebe53ab,51594751756992515",渣男,2
"849.44200,1,25,16777215,1625551348,0,854673e1,51594748574564355",额，会。,0
"1314.64300,1,25,16777215,1625551275,0,e18acd5f,51594710555820039",？？？？,3
"562.32900,1,25,16777215,1625551270,0,372fa67b,51594707761889287",姐夫哥是贝利亚奥特曼的cv,0
"1263.79200,1,25,16777215,1625551220,0,e18acd5f,51594681556926469",报警就撕票,2
"1335.97600,1,25,16777215,1625551184,0,b74ea9bb,51594662970392579",扔了不是更可疑么,2
"1176.06500,1,25,16777215,1625551153,0,8b2ede14,51594646668705795",媒体都报道了  还隔着耳机耳机,3
"1187.25700,1,25,16777215,1625551133,0,e18acd5f,51594636219645957",这无人机运力好强,0
"525.45900,1,25,16777215,1625551115,0,957be87e,51594626516123715",害 可是毒酒能证明他没动手啊,2
"764.63500,1,25,16777215,1625551096,0,a7117e4a,51594616862408711",狂人日记,1
"1291.91300,1,25,16777215,1625551075,0,f59aeeda,51594605477494789",这不是常规套路吗....,2
"583.31600,1,25,16777215,1625551018,0,6716ef12,51594575752462341",全剧最惨备胎男,1
"201.02400,1,25,16777215,1625550982,0,4b620fb2,51594556847161351",这人反应太慢，能让你毒人就能毒你,2
"1208.41800,1,25,16777215,1625550980,0,f59aeeda,51594555788099589",也太憨了吧这群警察,2
"13.01000,1,25,16777215,1625550945,0,bad603c,51594537680240645",.,2
"970.23500,1,25,16777215,1625550900,0,e18acd5f,51594514098290695",不是说撕票吗？,2
"148.61100,5,25,16777215,1625550900,0,55b1d605,51594514137612295",???????,3
"92.52300,1,25,16777215,1625550873,0,4b620fb2,51594499947757573",小桂子，你先来把汤喝了,0
"863.26500,1,25,16777215,1625550840,0,8b2ede14,51594482667225093",会,0
"857.65400,1,25,16777215,1625550656,0,197697d8,51594386034655239",会,0
"1334.13500,1,25,16777215,1625550618,0,76d440d0,51594365817585667",无语子,1
"536.07900,1,25,15138834,1625550603,0,9dd8e244,51594358355394563",又蠢又渣，腊鸡男主,2
"862.96700,1,25,16777215,1625550545,0,f310b79a,51594327979196423",太会了,0
"7.99800,1,25,16777215,1625550516,0,d5b98b95,51594312404697095",我觉得我该起床了,1
"19.68800,1,25,16777215,1625550512,0,3d24cb25,51594310618972167",阿斗再不更越狱，扔100个鸡爪,2
"925.35800,1,25,11890,1625550434,0,edc3f936,51594269359079431",吃vvv   v   爸爸补刀烤     爸爸 v   大Vv      电表   并         爸爸 并              烤   在      那次                 ,0
"1075.87300,1,25,16777215,1625550415,0,a72db2c0,51594259491979269",比博燃,0
"936.19200,1,25,11890,1625550406,0,edc3f936,51594254663811077",闺女    vvv      VBv     爸爸 烤   v并   叭叭叭        并爸爸  在   VB是  并 并      不能   v ,3
"936.19200,1,25,11890,1625550401,0,edc3f936,51594252372672519",GV       把vv    v发v v     v               v    烤           KB 走吧 v并             vv       v并 并   并在  ,3
"856.46500,1,25,16777215,1625550401,0,bb1993c3,51594252145655815",会,0
"1002.17800,1,25,11890,1625550391,0,edc3f936,51594246895960067",好爸爸 v     并v        v              vv         在v    v  并v   并 并   ，        渡口vv       风 阀控        并 ,3
"964.23200,1,25,9487136,1625550378,0,edc3f936,51594240003670023",GVvv  改编成    烤     v并     吃VB        并   并v v       并不多你爸爸     并  并并                             烤  ,0
"850.06300,1,25,16777215,1625550312,0,c5fd74ab,51594205706846213",我在乎！！,0
"792.40400,1,25,16777215,1625550256,0,76d440d0,51594176463634435",这女的好厉害啊,0
"205.55900,1,25,15138834,1625550247,0,9dd8e244,51594171298349063",这男的脑子有问题吧？？？？搞外遇不说竟然还想毒死自己的原配老婆,2
"745.10500,1,25,16777215,1625550225,0,76d440d0,51594159918678023",我的渣男丈夫,2
"778.05200,1,25,16777215,1625550222,0,5dd90e92,51594158203731971",正经人 谁写日记啊,2
"869.66700,1,25,16777215,1625550209,0,a72db2c0,51594151438843907",醒醒吧 不可能的,1
"1576.22700,5,25,15138834,1625550205,0,ec4c65f9,51594149428199427",把他酒掉包，然后把酒喝了。,2
"652.87200,1,25,16777215,1625550163,0,76d440d0,51594127686500359",果然看过,0
"857.39800,1,25,16777215,1625550142,0,996d1b96,51594116491902979",会,0
"1267.64300,5,25,16765698,1625550123,0,8ff6214b,51594106653638663",男女主合谋？,2
"1234.96400,1,25,16777215,1625550121,0,18f22187,51594105392726019",刑事侦缉档案里面有，翁文伟，翁佳丽,0
"646.70600,1,25,16777215,1625550090,0,5dd90e92,51594089311240197",まりあさん,1
"104.29500,1,25,16777215,1625550056,0,3c645107,51594071624908807",神仙生活！！！！,0
"632.67500,1,25,16777215,1625549968,0,95801720,51594024993685511",像消失的爱人？你爸爸像你？,2
"18.12600,1,25,16777215,1625549949,0,fb582735,51594015054757891",越狱是难产了吗！,1
"845.71600,1,25,16777215,1625549911,0,cf2f7dac,51593995250827271",我死了也愿意,0
"850.03600,1,25,16777215,1625549869,0,74956ae2,51593973136359431",会.......,0
"978.52400,1,25,16777215,1625549801,0,71d6152f,51593937700782213",咋还不撕票啊？？,2
"853.82900,1,25,16777215,1625549681,0,50557eb,51593874836553731",必然会,3
"1337.97300,1,25,16777215,1625549664,0,dadb7f4f,51593866034282503",离谱！,3
